name,imagenum1,imagenum2,
Kelvin_Sampson,1,2,
Kevin_Stallings,1,2,
Kim_Jong-Il,2,3,
Kristin_Davis,1,2,
Kristin_Davis,2,3,
Lance_Armstrong,1,17,
Lance_Armstrong,5,10,
Lance_Armstrong,7,11,
Lance_Armstrong,10,18,
Lance_Armstrong,14,17,
Laurent_Jalabert,1,2,
Lindsey_Graham,1,2,
Lisa_Gottsegen,1,2,
Lleyton_Hewitt,1,13,
Lleyton_Hewitt,16,27,
Lleyton_Hewitt,18,37,
Lleyton_Hewitt,24,36,
Luis_Ernesto_Derbez_Bautista,3,6,
Mario_Dumont,1,2,
Mark_Wahlberg,1,3,
Mark_Wahlberg,2,3,
Mark_Wahlberg,2,4,
Marlene_Weingartner,1,2,
Martha_Bowen,1,2,
Martin_Cauchon,1,2,
Martin_Hoellwarth,1,2,
Martin_Sheen,1,2,
Matthew_Broderick,1,4,
Matthew_Broderick,2,3,
Mike_Krzyzewski,1,6,
Mikhail_Gorbachev,1,2,
Monica_Bellucci,1,4,
Monica_Bellucci,2,4,
Naomi_Campbell,1,2,
Nestor_Kirchner,3,30,
Nestor_Kirchner,12,21,
Nestor_Kirchner,17,25,
Nicolas_Lapentti,1,2,
Noah_Wyle,2,3,
Nora_Bendijo,1,2,
Nursultan_Nazarbayev,1,2,
Pamela_Anderson,1,2,
Pamela_Anderson,1,5,
Patricia_Heaton,1,2,
Patty_Schnyder,1,2,
Patty_Schnyder,2,3,
Patty_Schnyder,2,4,
Patty_Schnyder,3,4,
Paul_Bremer,6,17,
Paul_Bremer,7,10,
Paul_Bremer,9,15,
Paul_Bremer,14,16,
Paul_Sarbanes,1,3,
Paul_Sarbanes,2,3,
Paul_William_Hurley,1,2,
Pervez_Musharraf,1,6,
Pervez_Musharraf,2,16,
Pervez_Musharraf,3,10,
Pervez_Musharraf,4,14,
Pervez_Musharraf,5,7,
Pervez_Musharraf,5,15,
Phil_Gramm,1,2,
Prince_Edward,1,2,
Ricardo_Lagos,3,12,
Ricardo_Lagos,23,27,
Ricardo_Monasterio,1,2,
Rich_Gannon,1,2,
Rick_Perry,1,4,
Rick_Perry,1,5,
Rick_Perry,2,4,
Rick_Perry,3,4,
Robert_Bonner,2,3,
Robert_Evans,2,3,
Robert_Fico,1,2,
Romano_Prodi,3,5,
Roy_Moore,2,5,
Roy_Moore,3,6,
Sachiko_Yamada,1,2,
Sachiko_Yamada,1,4,
Sachiko_Yamada,2,3,
Sachiko_Yamada,2,4,
Saeb_Erekat,1,2,
Sam_Bith,1,2,
Sam_Bith,1,3,
Sam_Bith,2,3,
Sean_Hayes,1,2,
Sergio_Garcia,1,2,
Silvia_Farina_Elia,1,2,
Steve_Ballmer,1,2,
Steve_Ballmer,1,3,
Stockard_Channing,1,3,
Stockard_Channing,2,3,
Terry_McAuliffe,1,2,
Terry_McAuliffe,1,3,
Thomas_Rupprath,1,3,
Thomas_Rupprath,2,3,
Tom_Ridge,6,16,
Tom_Ridge,8,25,
Tom_Ridge,9,26,
Tom_Ridge,18,22,
Tommy_Haas,4,5,
Tommy_Thompson,1,2,
Tommy_Thompson,1,7,
Tommy_Thompson,2,8,
Tommy_Thompson,4,8,
Tommy_Thompson,6,9,
Tomoko_Hagiwara,1,2,
Trent_Lott,1,2,
Trent_Lott,2,3,
Trent_Lott,2,8,
Trent_Lott,6,11,
Trent_Lott,7,10,
Trent_Lott,8,16,
Tsutomu_Takebe,1,2,
Tyler_Hamilton,1,2,
Tyra_Banks,1,2,
Vaclav_Havel,2,4,
Vaclav_Havel,2,5,
Vaclav_Havel,2,6,
Vaclav_Havel,4,9,
Vaclav_Havel,5,7,
Valerie_Harper,1,2,
Vince_Carter,3,4,
Vincent_Brooks,2,3,
Vincent_Brooks,2,7,
Vincent_Brooks,4,5,
Vincent_Brooks,4,7,
Vincent_Gallo,1,2,
Vitali_Klitschko,1,2,
Vitali_Klitschko,3,4,
William_Macy,1,4,
William_Macy,2,4,
William_Macy,3,4,
Woody_Allen,2,4,
Woody_Allen,3,5,
Yukiko_Okudo,1,2,
Zico,1,2,
Zico,2,3,
Abdullah_Gul,1,6,
Abdullah_Gul,1,8,
Abdullah_Gul,7,14,
Abdullah_Gul,9,12,
Abdullah_Gul,9,15,
Adolfo_Rodriguez_Saa,1,2,
Adrien_Brody,2,3,
Adrien_Brody,2,12,
Adrien_Brody,5,10,
Adrien_Brody,7,8,
Al_Sharpton,1,4,
Al_Sharpton,2,4,
Al_Sharpton,2,7,
Al_Sharpton,3,4,
Alexandra_Stevenson,1,2,
Alexandra_Stevenson,1,3,
Alexandra_Vodjanikova,1,2,
Alicia_Silverstone,1,2,
Ana_Palacio,3,7,
Ana_Palacio,6,8,
Andre_Agassi,1,5,
Andre_Agassi,2,16,
Andre_Agassi,4,33,
Andre_Agassi,9,25,
Andre_Agassi,17,25,
Anna_Kournikova,2,3,
Anna_Kournikova,2,12,
Anna_Kournikova,3,8,
Anna_Kournikova,7,8,
Anna_Kournikova,7,11,
Annette_Lu,1,2,
Arnold_Palmer,1,3,
Arnold_Palmer,2,3,
Aron_Ralston,1,2,
Arturo_Gatti,2,3,
Bashar_Assad,1,3,
Bashar_Assad,2,4,
Bernardo_Segura,1,2,
Bill_Gates,3,16,
Bill_Gates,7,15,
Bill_Gates,11,13,
Bill_Gates,13,17,
Bo_Pelini,1,2,
Bob_Stoops,2,4,
Bob_Stoops,2,5,
Bobby_Robson,1,2,
Bode_Miller,1,2,
Caroline_Kennedy,1,3,
Caroline_Kennedy,2,3,
Catherine_Zeta-Jones,1,11,
Catherine_Zeta-Jones,4,9,
Celso_Amorim,1,2,
Chan_Gailey,1,2,
Chanda_Rubin,2,5,
Chanda_Rubin,4,5,
Charles_Bronson,1,2,
Charles_Kartman,1,2,
Charles_Schumer,1,2,
Chris_Rock,1,2,
Christine_Baumgartner,1,2,
Christine_Baumgartner,2,4,
Colin_Farrell,1,7,
Colin_Farrell,2,7,
Colin_Farrell,3,6,
Colin_Farrell,4,8,
Dalai_Lama,1,2,
Daniel_Radcliffe,1,4,
Daryl_Hannah,1,2,
David_Anderson,1,2,
David_Anderson,1,3,
David_Beckham,1,15,
David_Beckham,9,16,
David_Beckham,11,29,
David_Beckham,13,29,
David_Beckham,15,24,
David_Beckham,20,27,
David_Beckham,27,31,
Denzel_Washington,2,4,
Denzel_Washington,3,5,
Dianne_Feinstein,1,2,
Dianne_Feinstein,1,3,
Dianne_Feinstein,2,3,
Dick_Clark,1,2,
Dick_Clark,1,3,
Donald_Fehr,1,3,
Donald_Fehr,1,4,
Donald_Fehr,2,3,
Donald_Fehr,3,4,
Dwayne_Johnson,1,2,
Ed_Rosenthal,1,2,
Erik_Morales,1,2,
Erik_Morales,2,3,
Evan_Rachel_Wood,2,3,
Evander_Holyfield,1,2,
Eve_Pelletier,1,2,
Farouk_al-Sharaa,1,2,
Farouk_al-Sharaa,1,3,
Farouk_al-Sharaa,2,3,
Frank_Cassell,1,2,
Frank_Cassell,1,3,
Fujio_Cho,1,4,
Fujio_Cho,2,5,
Fujio_Cho,3,5,
Fujio_Cho,4,6,
Fujio_Cho,5,6,
Gao_Qiang,1,2,
Geoff_Hoon,1,2,
Geoff_Hoon,3,4,
Geoff_Hoon,4,5,
George_Brumley,1,2,
George_Papandreou,1,2,
George_Papandreou,1,3,
George_Papandreou,1,4,
George_Papandreou,3,4,
Gloria_Allred,1,2,
Greg_Ostertag,1,2,
Greg_Owen,1,2,
Hanan_Ashrawi,1,2,
Harry_Kalas,1,2,
Hayley_Tullett,1,2,
Howard_Dean,1,3,
Howard_Dean,1,7,
Howard_Dean,2,8,
Howard_Dean,4,5,
Howard_Dean,5,12,
Hu_Jintao,4,14,
Hu_Jintao,5,12,
Hu_Jintao,5,15,
Hu_Jintao,11,13,
Ian_McKellen,1,3,
Ibrahim_Jaafari,1,2,
Isabella_Rossellini,1,3,
Ishaq_Shahryar,1,2,
Ismail_Merchant,1,2,
Jacques_Chirac,2,43,
Jacques_Chirac,19,28,
James_Cameron,1,3,
James_McGreevey,1,3,
James_McGreevey,1,4,
Jason_Alexander,1,2,
Jason_Kidd,2,8,
Jason_Kidd,3,8,
Jason_Kidd,6,8,
Jelena_Dokic,1,2,
Jelena_Dokic,2,4,
Jelena_Dokic,2,8,
Jelena_Dokic,3,4,
Jelena_Dokic,4,5,
Jelena_Dokic,4,7,
Jelena_Dokic,4,8,
Jelena_Dokic,5,6,
Jelena_Dokic,7,8,
Jennifer_Connelly,1,3,
Jennifer_Connelly,1,4,
Jennifer_Connelly,2,4,
Jennifer_Connelly,3,4,
Jennifer_Keller,1,4,
Jennifer_Keller,3,4,
Jennifer_Reilly,1,2,
Jennifer_Thompson,1,2,
Jim_Hahn,1,3,
Jim_Hahn,1,4,
Jim_Hahn,3,4,
Johnny_Carson,1,2,
Jorge_Batlle,1,2,
Jorge_Batlle,1,3,
Jorge_Rodolfo_Canicoba_Corral,1,2,
Juan_Ignacio_Chela,1,2,
Juan_Ignacio_Chela,1,3,
Juan_Ignacio_Chela,2,3,
Justin_Gatlin,1,2,
Karen_Mok,1,2,
Katie_Harman,1,2,
Katie_Harman,1,3,
Katie_Harman,2,3,
Kenneth_Branagh,1,2,
Kevin_Costner,1,3,
Kevin_Costner,2,6,
Kevin_Costner,2,8,
Kevin_Costner,6,8,
Larry_Lindsey,1,2,
Leonardo_DiCaprio,3,7,
Leonardo_DiCaprio,5,6,
Leonardo_DiCaprio,6,8,
Lindsay_Davenport,2,10,
Lindsay_Davenport,5,9,
Lisa_Ling,1,2,
Lucy_Liu,2,4,
Lucy_Liu,2,5,
Lucy_Liu,3,5,
Manfred_Stolpe,1,2,
Maria_Luisa_Mendonca,1,2,
Mario_Kreutzberger,1,2,
Melissa_Etheridge,1,2,
Michael_Jordan,1,2,
Michael_Jordan,1,3,
Michael_Jordan,2,4,
Mikhail_Youzhny,1,2,
Mitchell_Daniels,1,2,
Mitchell_Daniels,1,4,
Mitchell_Daniels,3,4,
Mohammad_Khatami,1,5,
Mohammad_Khatami,3,9,
Mohammad_Khatami,8,10,
Monique_Garbrecht-Enfeldt,1,3,
Natalie_Maines,2,5,
Natalie_Maines,4,5,
Nelson_Mandela,1,3,
Norodom_Sihanouk,1,3,
Norodom_Sihanouk,2,3,
Osama_bin_Laden,2,4,
Osama_bin_Laden,3,4,
Oxana_Fedorova,1,2,
Peter_Bacanovic,1,2,
Philippe_Noiret,1,2,
Placido_Domingo,1,2,
Placido_Domingo,2,3,
Prince_William,1,2,
Princess_Aiko,1,2,
Priscilla_Presley,1,2,
Richard_Haass,1,2,
Richard_Shelby,1,2,
Rick_Barnes,1,2,
Rick_Barnes,1,3,
Rick_Dinse,1,3,
Rick_Dinse,2,3,
Rio_Ferdinand,1,2,
Rita_Grande,1,2,
Rita_Grande,2,3,
Robin_McLaurin_Williams,1,2,
Saddam_Hussein,2,4,
Saddam_Hussein,2,10,
Saddam_Hussein,3,11,
Saddam_Hussein,6,9,
Sally_Field,1,2,
Salma_Hayek,1,10,
Salma_Hayek,1,11,
Sandra_Bullock,1,3,
Sandra_Bullock,1,4,
Sandra_Bullock,2,4,
Sandra_Bullock,3,4,
Sarah_Hughes,1,6,
Sarah_Hughes,2,5,
Sarah_Hughes,3,5,
Sarah_Hughes,4,6,
Sharon_Frey,1,2,
Silvio_Berlusconi,6,30,
Silvio_Berlusconi,8,23,
Silvio_Berlusconi,13,21,
Silvio_Berlusconi,17,29,
Silvio_Berlusconi,18,25,
Silvio_Berlusconi,23,28,
Silvio_Berlusconi,24,30,
Silvio_Berlusconi,26,32,
Spencer_Abraham,3,17,
Steffi_Graf,2,5,
Steffi_Graf,3,4,
Steven_Spielberg,1,5,
Steven_Spielberg,1,6,
Steven_Spielberg,3,6,
Steven_Spielberg,4,6,
Steven_Spielberg,4,7,
Steven_Spielberg,6,7,
Theresa_May,1,2,
Theresa_May,2,3,
Tippi_Hedren,1,2,
Todd_Haynes,1,2,
Todd_Haynes,1,3,
Todd_Haynes,1,4,
Todd_Haynes,2,4,
Tony_Blair,18,86,
Tony_Blair,32,48,
Tony_Blair,32,110,
Tony_Blair,53,102,
Tony_Blair,91,134,
Tony_Blair,92,133,
Tony_Blair,105,121,
Vicente_Fox,4,30,
Vicente_Fox,9,16,
Vicente_Fox,11,17,
Vicente_Fox,15,30,
Vojislav_Kostunica,1,3,
Vojislav_Kostunica,2,4,
Vojislav_Kostunica,4,7,
Vojislav_Kostunica,5,7,
Walter_Mondale,1,6,
Walter_Mondale,1,7,
Walter_Mondale,5,7,
Walter_Mondale,6,8,
Walter_Mondale,7,9,
Wang_Yingfan,2,3,
William_Bratton,1,3,
William_Donaldson,1,5,
William_Donaldson,3,5,
William_Donaldson,4,6,
Xavier_Malisse,1,3,
Xavier_Malisse,3,4,
Xavier_Malisse,3,5,
Yevgeny_Kafelnikov,1,4,
Zarai_Toledo,1,2,
Abdoulaye_Wade,1,2,
Abdoulaye_Wade,1,3,
Abdoulaye_Wade,2,3,
Adam_Sandler,1,2,
Adam_Sandler,1,4,
Adam_Sandler,2,3,
Aicha_El_Ouafi,1,3,
Aicha_El_Ouafi,2,3,
Akbar_Hashemi_Rafsanjani,1,3,
Akbar_Hashemi_Rafsanjani,2,3,
Al_Pacino,1,2,
Al_Pacino,1,3,
Alex_Barros,1,2,
Allyson_Felix,1,3,
Allyson_Felix,1,4,
Allyson_Felix,1,5,
Allyson_Felix,4,5,
Anastasia_Myskina,1,2,
Andy_Roddick,8,12,
Andy_Roddick,10,15,
Andy_Roddick,13,15,
Anna_Nicole_Smith,1,2,
Antonio_Palocci,1,8,
Antonio_Palocci,3,6,
Antonio_Palocci,4,5,
Antonio_Palocci,5,7,
Antonio_Palocci,6,8,
Arnoldo_Aleman,1,3,
Arnoldo_Aleman,3,5,
Ashton_Kutcher,1,3,
Ashton_Kutcher,2,3,
Augusto_Roa_Bastos,1,2,
Aung_San_Suu_Kyi,1,2,
Barry_Zito,1,2,
Bill_Graham,1,9,
Bill_Graham,3,4,
Bill_Graham,4,6,
Bill_Graham,5,6,
Bob_Dole,1,3,
Bruce_Weber,1,2,
Carlos_Mesa,1,2,
Carolyn_Dawn_Johnson,1,2,
Carolyn_Dawn_Johnson,2,3,
Celine_Dion,3,8,
Chakib_Khelil,1,2,
Chen_Shui-bian,2,4,
Chen_Shui-bian,3,5,
Christopher_Walken,1,3,
Christopher_Walken,1,4,
Claudia_Pechstein,1,2,
Claudia_Pechstein,1,4,
Claudia_Pechstein,3,4,
Claudia_Pechstein,3,5,
Claudia_Pechstein,4,5,
Clay_Aiken,2,4,
Clay_Aiken,3,4,
Clay_Aiken,3,5,
Colin_Powell,40,71,
Colin_Powell,49,234,
Colin_Powell,133,170,
Colin_Powell,182,198,
Cristina_Fernandez,1,2,
Daisy_Fuentes,2,3,
Damon_van_Dam,1,2,
Dan_Wheldon,1,2,
David_Coulthard,1,2,
David_Kelley,1,2,
Debra_Brown,1,2,
Dennis_Erickson,1,2,
Derek_Lowe,1,2,
Eddie_Sutton,1,2,
Edie_Falco,1,2,
Elijah_Wood,2,3,
Elizabeth_Hurley,1,4,
Elizabeth_Hurley,2,5,
Emily_Robison,1,2,
Ethan_Hawke,1,4,
Eunice_Barber,1,2,
Felix_Mantilla,1,2,
Fidel_Castro,1,18,
Fidel_Castro,3,7,
Fidel_Castro,5,8,
Fidel_Castro,8,12,
Fidel_Castro,11,13,
Francisco_Flores,1,2,
Francisco_Flores,1,3,
Frank_Dunham_Jr,1,2,
Franko_Simatovic,1,2,
Fred_Eckhard,1,2,
Fred_Eckhard,1,3,
Fred_Eckhard,2,3,
GL_Peiris,1,2,
GL_Peiris,1,3,
GL_Peiris,2,3,
GL_Peiris,2,4,
Garry_Kasparov,1,2,
Hassan_Nasrallah,1,2,
Heidi_Klum,1,3,
Heidi_Klum,1,4,
Heidi_Klum,2,4,
Heidi_Klum,3,4,
Heinz_Feldmann,1,2,
Heinz_Feldmann,2,3,
Iban_Mayo,1,2,
Imad_Moustapha,1,2,
Inam-ul-Haq,1,2,
James_Gandolfini,1,3,
James_Gandolfini,2,3,
Janet_Thorpe,1,2,
Jean-Pierre_Raffarin,1,2,
Jean-Pierre_Raffarin,1,6,
Jean-Pierre_Raffarin,3,4,
Jean-Pierre_Raffarin,3,5,
Jean-Pierre_Raffarin,4,7,
Jean-Pierre_Raffarin,5,7,
Jean-Pierre_Raffarin,6,7,
Jeffrey_Scott_Postell,1,2,
Jennifer_Capriati,2,14,
Jennifer_Capriati,7,32,
Jennifer_Capriati,33,42,
Job_Cohen,1,2,
John_McCormack,1,2,
John_Paul_II,1,4,
John_Paul_II,2,5,
John_Paul_II,2,8,
John_Paul_II,4,9,
John_Paul_II,10,11,
John_Ruiz,1,2,
John_Stallworth,1,2,
John_Stockton,2,4,
John_Travolta,2,6,
John_Travolta,3,5,
John_Travolta,5,7,
Jonathan_Mostow,1,2,
Jorge_Arce,1,2,
Joschka_Fischer,1,10,
Joschka_Fischer,6,11,
Joschka_Fischer,7,11,
Joschka_Fischer,11,17,
Joschka_Fischer,15,16,
Jose_Canseco,1,3,
Juan_Manuel_Marquez,1,2,
Juan_Manuel_Marquez,1,3,
Juan_Manuel_Marquez,2,3,
Juan_Valencia_Osorio,1,2,
Julie_Gerberding,9,13,
Julie_Gerberding,12,15,
Kate_Hudson,1,4,
Kate_Hudson,1,8,
Kate_Hudson,2,3,
Kate_Hudson,4,9,
Kate_Hudson,6,7,
Kemal_Dervis,1,3,
Kemal_Dervis,2,3,
Kenneth_Evans,1,2,
Kifah_Ajouri,1,2,
Larry_Lucchino,1,2,
Latrell_Sprewell,1,2,
Lech_Walesa,1,2,
Lee_Tae-sik,1,2,
Lisa_Marie_Presley,1,3,
Liza_Minnelli,2,3,
Liza_Minnelli,3,4,
Liza_Minnelli,3,6,
Liza_Minnelli,4,5,
Liza_Minnelli,5,6,
Liza_Minnelli,6,7,
Madonna,1,4,
Madonna,2,3,
Madonna,4,5,
Mariah_Carey,3,6,
Mary_Tyler_Moore,1,2,
Mathias_Reichhold,1,2,
Matt_Damon,1,2,
Matt_Damon,1,3,
Matt_Damon,2,4,
Matt_Damon,3,4,
Maureen_Fanning,1,2,
Melanie_Griffith,1,2,
Melanie_Griffith,1,3,
Melanie_Griffith,2,3,
Michael_Ballack,1,2,
Michael_Winterbottom,1,3,
Michael_Winterbottom,2,3,
Michelle_Collins,1,2,
Milo_Maestrecampo,1,2,
Mohamed_Benaissa,1,2,
Mohamed_ElBaradei,2,4,
Mohamed_ElBaradei,3,8,
Morgan_Freeman,1,2,
Muhammad_Ali,1,3,
Muhammad_Ali,1,7,
Muhammad_Ali,2,5,
Muhammad_Ali,6,10,
Muhammad_Ali,7,9,
Mukesh_Ambani,1,2,
Mukesh_Ambani,1,3,
Paris_Hilton,1,2,
Pat_Cox,1,2,
Paul_Burrell,3,7,
Paul_Burrell,5,11,
Paul_Burrell,8,10,
Paul_Wolfowitz,8,10,
Paula_Radcliffe,1,2,
Paula_Radcliffe,1,3,
Paula_Radcliffe,2,3,
Paula_Radcliffe,2,4,
Paula_Radcliffe,3,4,
Paula_Radcliffe,3,5,
Paula_Radcliffe,4,5,
Paulo_Cesar_Pinheiro,1,2,
Pedro_Solbes,1,3,
Pedro_Solbes,1,4,
Pedro_Solbes,2,3,
Pedro_Solbes,3,4,
Pete_Carroll,1,2,
Pete_Carroll,1,3,
Pete_Carroll,2,3,
Pete_Sampras,2,12,
Pete_Sampras,2,13,
Pete_Sampras,3,15,
Pete_Sampras,4,20,
Pete_Sampras,6,7,
Pete_Sampras,6,8,
Pete_Sampras,10,13,
Pete_Sampras,12,15,
Peter_Struck,1,5,
Peter_Struck,2,5,
Phil_Vassar,1,2,
Pierre_Boulanger,1,2,
Prince_Willem-Alexander,1,2,
Prince_Willem-Alexander,1,3,
Prince_Willem-Alexander,2,3,
Queen_Elizabeth_II,3,7,
Queen_Elizabeth_II,9,12,
Queen_Elizabeth_II,10,11,
Queen_Elizabeth_II,10,12,
Ray_Nagin,1,2,
Ricardo_Maduro,1,2,
Richard_Branson,1,2,
Richard_Virenque,1,4,
Richard_Virenque,1,6,
Richard_Virenque,1,7,
Richard_Virenque,2,7,
Richard_Virenque,2,8,
Rick_Carlisle,2,4,
Rick_Wagoner,1,2,
Robbie_Williams,1,2,
Robbie_Williams,1,3,
Roberto_Carlos,2,3,
Roberto_Carlos,2,4,
Roseanne_Barr,1,2,
Roseanne_Barr,2,3,
Ruben_Studdard,1,2,
Sammy_Sosa,1,2,
Sarah_Jessica_Parker,1,3,
Sarah_Jessica_Parker,2,4,
Sarah_Jessica_Parker,3,4,
Sharon_Davis,1,2,
Shaul_Mofaz,1,2,
Shaul_Mofaz,2,3,
Stan_Heath,1,2,
Svetlana_Koroleva,1,2,
Terrell_Suggs,1,2,
Tim_Henman,2,12,
Tim_Henman,8,19,
Tom_Daschle,7,8,
Tom_Daschle,15,21,
Tom_Daschle,15,22,
Tony_Curtis,1,2,
Valentino_Rossi,1,2,
Valentino_Rossi,2,4,
Valentino_Rossi,3,6,
Valentino_Rossi,4,5,
Valentino_Rossi,5,6,
Vanessa_Redgrave,1,3,
Vanessa_Redgrave,1,4,
Vanessa_Redgrave,2,5,
Vanessa_Redgrave,3,4,
Victoria_Clarke,1,5,
Vladimiro_Montesinos,1,2,
Vladimiro_Montesinos,1,3,
Vladimiro_Montesinos,2,3,
Wayne_Ferreira,1,2,
Wayne_Ferreira,1,3,
Wayne_Ferreira,1,5,
Wayne_Ferreira,2,5,
Wayne_Ferreira,3,4,
Will_Smith,1,2,
Yasser_Arafat,1,6,
Yasser_Arafat,1,8,
Yasser_Arafat,2,3,
Yasser_Arafat,2,5,
Yasser_Arafat,3,4,
Yasser_Arafat,3,8,
Yasser_Arafat,4,5,
Yasser_Arafat,5,8,
Yuri_Fedotov,1,2,
Zoran_Djindjic,1,3,
Zoran_Djindjic,1,4,
Aaron_Eckhart,1,Akiko_Morigami,1
Aaron_Eckhart,1,AnFernce_Negron,1
Aaron_Eckhart,1,Sadie_Frost,1
Abdel_Aziz_Al-Hakim,1,Joe_Darrell,1
Abdullah_al-Attiyah,1,Rachel_Wadsworth,1
Abdullah_al-Attiyah,2,John_Lisowski,1
Abraham_Foxman,1,Doug_Melvin,2
Abraham_Foxman,1,Nikki_Reed,1
Adam_Rich,1,Jean-Claude_Trichet,1
Adam_Rich,1,John_Goold,1
Adam_Rich,1,Lisa_Girman,1
Adam_Rich,1,Roger_Clemens,1
Adam_Rich,1,Suzanne_Somers,1
Adrian_Fernandez,1,Nicolas_Massu,1
Aiysha_Smith,1,Yossi_Beilin,1
Akiko_Morigami,1,Shane_Mosley,1
Alastair_Johnston,1,Aleksander_Kwasniewski,4
Alastair_Johnston,1,Bill_Duffey,1
Albert_Brooks,1,Robinson_Stevenin,1
Albert_Brooks,1,Sheila_Copps,3
Aleksander_Kwasniewski,1,Guangdong_Ou_Guangyuan,1
Aleksander_Kwasniewski,2,George_Plimpton,1
